总字数:26954, 共2624个单词
  序号  单词                 次数   万分比   翻译                  
  ----  ----                 ----     ----   ----                
     1  the                  2355      873   art. 那;              
     2  and                  1276      473   conj. 和,与;           
     3  he                   1165      432   int. 他;              
     4  of                    556      206   prep. 属于;            
     5  i                     508      188                        
     6  it                    493      182   int. 它;              
     7  to                    460      170   prep. 到,向;           
     8  his                   456      169   pron. 他的;            
     9  was                   440      163   prep. 是;             
    10  a                     430      159   art. 一;              
    11  in                    384      142   以后；将来                
    12  that                  297      110   conj. 以致,因为;pron. 那;a. pron. 那; 
    13  fish                  285      105   n. 鱼,鱼肉,鱼类;v. 钓,钓鱼,查出; 
    14  man                   265       98   n. 男人,人类,人;v. 为...配备人手,鼓舞; 
    15  old                   248       92   n. 以前,往昔;a. 老的,旧的,年长的; 
    16  but                   235       87   prep. 除了...之外;conj. 但是; 
    17  him                   229       84   int. 他;              
    18  on                    207       76   平均，一般说来              
    19  with                  206       76   prep. 与,以,由于;        
    20  had                   203       75   v. 有,吃,使;vbl. 有,吃,让;conj. 有; 
    21  not                   202       74   ad. 不,非,未;           
    22  as                    197       73   ad. 同样地,像;prep. 当做;conj. 当...之时,像,因 
    23  you                   193       71   int. 你,你们;           
    24  is                    191       70   prep. 是;             
    25  said                  189       70   v. 说,讲;vbl. 说,讲;     
    26  now                   173       64   ad. 现在,刚才,目前;        
    27  thought               165       61   n. 想法,思想;v. 想,思考,认为;vbl. 想,思考,认为; 
    28  they                  152       56   int. 他们,它们;          
    29  then                  150       55   ad. 然后,当时;conj. 然后,当时; 
    30  have                  143       53   有共同点                 
    31  for                   140       51   为了                   
    32  were                  138       51   prep. 是,在;           
    33  line                  138       51   n. 列,线,航线;v. 排成一行,顺...排列,划线于; 
    34  could                 116       43   conj. 能够;            
    35  water                 105       38   n. 水,雨水,海水;v. 浇水予,供以水,注入水; 
    36  when                  105       38   conj. 当...的时候;int. 何时,什么时候,当...之时; 
    37  out                   104       38   a. 外面的,熄减的,结束的;ad. 在外,熄减,出现;prep. 出 
    38  there                 102       37   ad. 在那里;             
    39  boy                   100       37   n. 男孩;               
    40  at                     99       36   在最坏的情况下              
    41  all                    97       35   a. 所有的,全部的;ad. 全部,全然;int. 全部,全体,一切; 
    42  them                   97       35   int. 他们,她们,它们;       
    43  would                  95       35   conj. 将,愿意;          
    44  from                   94       34   prep. 从,来自,根据;       
    45  be                     91       33   prep. 是,有,在;         
    46  do                     91       33   扫除                   
    47  hand                   90       33   n. 手,掌握,协助;v. 支持,以手助,交给; 
    48  no                     90       33   n. 不,拒绝,否决票;a. 没有,不是,绝非;ad. 不; 
    49  will                   90       33   n. 意志,意向,遗嘱;v. 决意,愿,立遗嘱;conj. 将,愿意, 
    50  down                   88       32   a. 向下的;ad. 下,下去;prep. 下; 
    51  so                     85       31   结果是；如此...以至于，如此...以使 
    52  back                   82       30   a. 后面的;v. 后退;ad. 向后地; 
    53  up                     82       30   a. 向上的,起床的,涨的;ad. 向上,没睡觉,上涨;prep. 在 
    54  can                    80       29   v. 开罐;conj. 能,可以;    
    55  if                     78       28   conj. 如果,是否,假设;n.[计算机] DOS命令:测试并确定某 
    56  one                    76       28   n. 一;int. 一,任何人;a. 一,一个; 
    57  must                   72       26   n. 必须,未发酵葡萄汁,绝对必要的事物;conj. 必须; 
    58  what                   71       26   pron. 什么;int. 怎么,多么; 
    59  too                    70       25   ad. 也,非常,太;          
    60  see                    67       24   v. 看见,想一想,知道;        
    61  again                  64       23   ad. 再一次,此外;          
    62  great                  64       23   a. 大的,非常的,主要的;ad. 顺利地,得意地; 
    63  are                    62       23   prep. 是,在;           
    64  head                   61       22   n. 头,头脑,领袖;v. 为首,朝向,前进; 
    65  more                   60       22   n. 更多;a. 多的,程度较大的,更大的;ad. 多,更多,进一步; 
    66  against                59       21   prep. 反对,靠,倚;        
    67  me                     59       21   int. 我;              
    68  did                    58       21   v. 做;conj. 是,要,做;    
    69  come                   58       21   v. 过来,来,到达;vbl. 来,到达,合计为; 
    70  or                     57       21   conj. 或;             
    71  into                   56       20   prep. 进入...之内,深入...之中,成为...状况; 
    72  two                    55       20   a. 二;                
    73  only                   53       19   a. 唯一的,仅有的,最佳的;ad. 只有,仅仅,只能;conj. 但 
    74  this                   51       18   a. pron. 这,本;        
    75  left                   50       18   a. 左边的,左倾的,左侧的;v. 离开,留下;vbl. 离开,留下, 
    76  over                   50       18   ad. 结束,越过,从头到尾;prep. 在...之上,遍于...之上 
    77  my                     50       18   pron. 我的;            
    78  time                   48       17   n. 时间,期限,次数;v. 计时,定时;n.[计算机] DOS命令: 
    79  skiff                  48       17   n. 小艇,轻舟,小型帆船;       
    80  good                   47       17   n. 善行,好处;a. 好的,优良的,上等的; 
    81  made                   47       17   a. 已制成的,成功的,创造的;v. 做,使,安排;vbl. 做,造成 
    82  eat                    47       17   v. 吃;                
    83  sun                    47       17   n. 太阳,阳光;            
    84  much                   46       17   n. 多,许多,重要的事;a. 很多的,很好的;ad. 多,甚,几乎; 
    85  shark                  46       17   n. 鲨鱼;骗子;高利贷者        
    86  saw                    46       17   n. 锯子;v. see的过去式,看见,了解,会面; 
    87  like                   46       17   a. 相似的,同样的;v. 喜欢,愿意,想;prep. 像,如同; 
    88  knew                   45       16   v. 知道,懂得,了解;         
    89  we                     45       16   int. 我们;             
    90  think                  44       16   v. 想,考虑,想像;          
    91  been                   44       16   art. 是,有,在;          
    92  hands                  44       16                        
    93  sea                    44       16   n. 海洋,大浪,宽广;         
    94  go                     44       16   如下                   
    95  get                    43       15   v. 到达                
    96  their                  42       15   pron. 他们的;           
    97  dark                   42       15   n. 黑暗,夜;a. 黑暗的;      
    98  came                   41       15   v. 来,来临,成为;          
    99  well                   40       14   n. 井,泉源;a. 建康的,良好的,适宜的;ad. 很好地,适当地; 
   100  let                    40       14   v. 让,出租,排放;          
   101  felt                   40       14   n. 毛毯;v. 感觉到,觉得,摸摸看;vbl. 感觉,觉得,摸摸看; 
   102  still                  39       14   a. 静止的,不动的,静寂的;ad. 仍然,更,静止地;conj. 然 
   103  boat                   39       14   n. 船;                
   104  make                   37       13   v. 制造,使,安排;          
   105  fast                   37       13   a. 快速的,耐久的,紧的;ad. 很快地,紧紧地,彻底地; 
   106  looked                 37       13                        
   107  himself                37       13   pron. 他自己,他亲自;       
   108  am                     37       13   prep. 是,在;           
   109  big                    37       13   a. 大的;               
   110  how                    36       13   int. 如何,怎样,多少;int. 多麽; 
   111  some                   36       13   a. 一些,少许,某一;int. 一些,一部份,若干; 
   112  where                  36       13   int. 哪里;             
   113  know                   36       13   v. 知道,了解,认识;         
   114  went                   35       12   v. 去,过去,达;           
   115  aloud                  35       12   ad. 大声地;             
   116  very                   35       12   a. 真正的,就是那个;ad. 非常;  
   117  after                  33       12   ad. 在...之后;prep. 在...之后,依照;conj. 在. 
   118  cut                    33       12   n. 切口,割伤,降低;v. 切割,减少,刺痛;vbl. 切割,减少, 
   119  put                    33       12   v. 放,安置;vbl. 放,安置;   
   120  before                 33       12   ad. 以前;prep. 在...之前;conj. 在...之前; 
   121  right                  33       12   n. 权利,右边,正义;a. 正确的,好的,右方的;ad. 正确地,一 
   122  just                   33       12   a. 正直的,合理的,正确的;ad. 刚刚,正好,仅仅; 
   123  first                  33       12   ad. 首先,第一,优先;a. 第一的; 
   124  long                   32       11   a. 长的,很久的,冗长的;v. 渴望,热望,极想;ad. 久; 
   125  by                     32       11   prep. 被,经由,在...之前;   
   126  bow                    32       11   n. 弓,船头,鞠躬;v. 鞠躬,弯腰; 
   127  about                  31       11   ad. 大约,四处,在附近;prep. 有关,大约; 
   128  nothing                31       11   n. 无,不关紧要之事,零;ad. 毫不,决不;int. 什麽也没有, 
   129  other                  31       11   a. 其他的,另外的,从前的;int. 其他的,他人,另外一个; 
   130  side                   31       11   n. 旁边,侧,方面;a. 旁的,侧的;v. 偏袒; 
   131  your                   30       11   pron. 你的,你们的;        
   132  night                  30       11   n. 夜晚,晚上,黑暗;         
   133  each                   30       11   a. 每个,每,每一;ad. 每个;int. 每个,个人,个自; 
   134  her                    30       11   int. 她;pron. 她的;     
   135  its                    30       11   pron. 它的;            
   136  took                   30       11   v. 拿,取;              
   137  than                   30       11   conj. 比较,除...外;      
   138  take                   29       10   认为. ..理所当然           
   139  many                   29       10   n. 多数,多数的人;a. 许多;    
   140  has                    28       10   v. 有,吃,让...作;conj. 有; 
   141  across                 28       10   ad. 横过,交叉;prep. 横过;  
   142  never                  28       10   ad. 从不,决不,不曾;        
   143  slowly                 27       10   ad. 慢慢地,迟缓地;         
   144  dolphin                27       10   n. 海豚;               
   145  little                 27       10   n. 一点点,少许,一会儿;a. 小的,很少的,幼小的;ad. 很少, 
   146  hit                    26        9   n. 打击,打,冲撞;v. 打,打击,碰撞; 
   147  under                  26        9   prep. 在...之下,低于;     
   148  bird                   26        9   n. 鸟;                
   149  through                26        9   ad. 穿越,完;prep. 经过,穿过; 
   150  keep                   26        9   n. 生计,维持;v. 保存,维持,继续; 
   151  who                    26        9   pron. 谁;             
   152  day                    25        9   n. 天,日子;             
   153  though                 25        9   ad. 虽然,可是;conj. 虽然,纵然; 
   154  watched                25        9                        
   155  off                    25        9   a. 远的,休假的,空闲的;ad. 走开,出发,隔断;prep. 离开 
   156  held                   25        9   v. 拿着,保持,举行;vbl. 拿着,保持,举行; 
   157  tail                   24        8   n. 尾部,后部,辫子;a. 在后面的,从后面而来的;v. 附于其后, 
   158  because                24        8   conj. 因为;            
   159  far                    24        8   a. 远的,久远的,遥远的;ad. 甚远地,很,很晚地; 
   160  eyes                   24        8                        
   161  pull                   24        8   v. 拉,拖,拔;            
   162  small                  23        8   a. 小的,少的,低的;         
   163  feel                   23        8   v. 感觉,觉得,触摸;         
   164  something              23        8   int. 某事,某物;          
   165  work                   23        8   n. 工作,劳动,职业;v. 工作;   
   166  any                    23        8   a. 任何的;int. 任何;      
   167  started                23        8                        
   168  wish                   22        8   n. 希望,愿望,祝颂;v. 愿,想要,希望; 
   169  even                   22        8   a. 平坦的,偶数的,相等的;ad. 甚至,恰好,正当; 
   170  light                  22        8   n. 光,光亮,灯;a. 轻的,光亮的,容易的;v. 点燃,著火,变亮 
   171  stern                  22        8   n. 尾部,船尾;a. 严厉的,坚决的,可怖的; 
   172  flying                 22        8   a. 飞的,飘扬的,飞速的;vbl. 飞; 
   173  way                    22        8   n. 方法,道路,方向;         
   174  kill                   22        8   n. 杀,杀戮;v. 杀,破坏,消减;  
   175  strong                 22        8   a. 强壮的,有力的;ad. 强劲地,有力地,猛烈地; 
   176  gone                   21        7   a. 离去的,死去的,用完的;vbl. 离去; 
   177  lines                  21        7   n. 台词                
   178  until                  21        7   prep. 直到,在...以前,迄...之时;conj. 直到,在.. 
   179  another                21        7   a. 另外的,再一,不同的;int. 另外一,另一个人,同类的东西; 
   180  nor                    21        7                        
   181  should                 21        7   conj. 应该,将要;         
   182  sail                   21        7   n. 帆,航程;v. 张帆而行,渡;   
   183  better                 20        7   a. 较好的;ad. 比较;       
   184  away                   20        7   ad. 离去的;             
   185  going                  20        7   go的现在分词 n.行走         
   186  hook                   20        7   n. 钩,钩状,镰刀;v. 挂...于钩上,弯成钩状,偷窃; 
   187  remember               20        7   v. 记得,记忆;            
   188  sleep                  20        7   n. 睡眠,静止,睡意;v. 睡觉,睡眠,静止; 
   189  shoulders              20        7                        
   190  around                 20        7   ad. 在附近,到处;prep. 在...周围,四处; 
   191  bring                  20        7   v. 带来;               
   192  knife                  20        7   n. 刀;v. 用刀切割,如刀割般;   
   193  once                   20        7   一劳永逸，限此一次            
   194  harpoon                20        7   n. 鱼叉;v. 用鱼叉叉,用鱼叉捕获; 
   195  without                19        7   prep. 没有,不,在...之外;   
   196  heavy                  19        7   a. 重的,巨大的,沉重的;       
   197  don                    19        7   n. 君,先生,阁下;v. 著,穿;   
   198  sharks                 19        7                        
   199  maybe                  19        7   ad. 也许,大概;           
   200  wood                   18        6   n. 木材,森林,木制品;        
   201  strength               18        6   n. 力量,强度,抵抗力;        
   202  almost                 17        6   ad. 几乎,大概;           
   203  circle                 17        6   n. 圆周,社交圈,循环;v. 包围,盘旋,绕; 
   204  bait                   17        6   n. 饵;v. 以饵引诱;        
   205  fishermen              17        6   n. 渔夫,钓鱼者,渔船;        
   206  pulled                 17        6                        
   207  asked                  17        6                        
   208  jaws                   17        6   n. 口,狭口,咽喉;          
   209  bad                    17        6   a. 坏的;               
   210  perhaps                17        6   ad. 也许,大概;           
   211  while                  17        6   n. 一会儿,时间;conj. 当...的时候,虽然; 
   212  high                   17        6   n. 高度,高处;a. 高的,高级的,主要的;ad. 高度地,奢侈地; 
   213  current                17        6   n. 涌流,趋势,流;a. 流通的,现在的,最近的; 
   214  ocean                  17        6   n. 大海,海洋,广阔;         
   215  want                   16        5   n. 缺乏,欲望,需要;v. 要,希望,必须; 
   216  weight                 16        5   n. 重量,体重,重担;         
   217  steady                 16        5   a. 稳定的,不动摇的,沉～的;v. 使...稳定,变为坚定,变为沉～ 
   218  clear                  16        5   a. 清楚的,明确的,澄清的;v. 澄清,清除障碍,放晴; 
   219  breeze                 16        5   n. 微风,轻而易举的事;        
   220  mast                   16        5   n. 桅杆 vt.装桅杆         
   221  cannot                 16        5   conj. 无法,不能;         
   222  steadily               16        5   ad. 稳定地,无变化地,有规则地;   
   223  always                 16        5   ad. 总是,始终;           
   224  bed                    16        5   n. 床;                
   225  which                  16        5   pron. 哪一,那一个;        
   226  deep                   16        5   a. 深的;ad. 深入地;       
   227  surface                16        5   n. 表面,一边,平面;a. 表面的,肤浅的;v. 使...成平面,被 
   228  everything             16        5   int. 每件事物,万事;        
   229  turn                   15        5   关掉(自来水,电灯等)          
   230  strange                15        5   a. 奇怪的,陌生的;          
   231  hard                   15        5   a. 难的,艰苦的,坚硬的;ad. 努力地,辛苦地,坚硬地; 
   232  try                    15        5   n. 尝试,试验;v. 试,尝试;    
   233  meat                   15        5   n. 肉,餐,食物;           
   234  leaned                 15        5                        
   235  coming                 15        5   n. 来临;a. 就要来的,将来的;vbl. 过来,来,到达; 
   236  might                  15        5   n. 力气,权力;conj. 可能,也许; 
   237  mouth                  15        5   n. 嘴,开口;v. 装腔作势说话,   高声地说话; 
   238  both                   15        5   a. 两者的;ad. 两者都;int. 两者; 
   239  turned                 15        5                        
   240  seen                   15        5   vbl. 看到;             
   241  our                    15        5   pron. 我们的;           
   242  oars                   15        5                        
   243  tuna                   15        5   鲔鱼                   
   244  half                   14        5   n. 一半,半时,不完全;a. 一半的,不完全的,半途的;ad. 一半 
   245  straight               14        5   n. 直线,直;a. 直的,正直的,连续的;ad. 直接地,立即,不断 
   246  blue                   14        5   n. 蓝色;a. 蓝色的;        
   247  rose                   14        5   n. 玫瑰,蔷薇;a. 玫瑰色的;v. 上升,起床,起身; 
   248  purple                 14        5   n. 紫色;a. 紫色的;        
   249  things                 14        5                        
   250  sometimes              14        5   ad. 有时,时常,往往;        
   251  since                  14        5   ad. 自那时以后;prep. 自...以后,自...以来;conj. 
   252  coils                  14        5                        
   253  open                   14        5   n. 公开,户外,空旷;a. 开著的,开放的,公开的;v. 打开,公开 
   254  moved                  14        5                        
   255  hurt                   14        5   n. 伤害,创伤,损害;v. 伤害,使...伤心,痛;vbl. 伤害; 
   256  morning                14        5   n. 早晨,早上,初期;         
   257  course                 14        5   n. 课程,路线,一道菜;        
   258  wind                   13        4   n. 风,气味,卷;v. 上发条,缠绕,蜿蜒; 
   259  yellow                 13        4   n. 黄色;a. 黄色的;        
   260  onto                   13        4   prep. 在...之上;        
   261  hooked                 13        4   a. 钩状的,有钩的,用钩做成的;    
   262  three                  13        4   a. 三;                
   263  part                   13        4   n. 部份,零件,角色;v. 分开,分离,分配;ad. 部份地,有几分 
   264  together               13        4   ad. 一起,共同;           
   265  feet                   13        4   n. 脚,尺,韵脚;           
   266  sardines               13        4                        
   267  tried                  13        4   a. 试验过的,可靠的;v. 尝试,考验;vbl. 尝试,试验; 
   268  air                    13        4   n. 空气,旋律,态度;v. 晾干,使通风,夸耀; 
   269  white                  13        4   n. 白色,白种人,蛋白;a. 白色的,纯洁的,白种的; 
   270  rest                   13        4   n. 休息,其余者,休息处;v. 休息,安置,依旧; 
   271  say                    13        4   v. 说,讲;              
   272  enough                 13        4   n. 充足,够,很多;a. 充足的,足够,只够做...的;ad. 足够 
   273  fight                  13        4   n. 打架,战斗,斗志;v. 对抗,打架; 
   274  wide                   13        4   a. 宽的,广阔的,普遍的;ad. 广阔地,遍及各处地,广泛的; 
   275  tired                  13        4   a. 疲累的,疲乏的,厌倦的;vbl. 疲倦,厌烦; 
   276  here                   13        4   ad. 在这里,此时,这里;       
   277  days                   12        4   n. 天;ad. 每天,在白天;     
   278  god                    12        4                        
   279  rope                   12        4   n. 粗绳,绞人的绳索;v. 以绳将...系住,引诱; 
   280  ever                   12        4   ad. 曾经,究竟,永远;        
   281  hundred                12        4   n. 百,百个东西;a. 百,百个;   
   282  lay                    12        4   v. 放置,产,铺设;vbl. 躺卧,摆放,说谎; 
   283  swam                   12        4   v. 游泳;               
   284  began                  12        4   v. 开始;               
   285  does                   12        4   v. 做,有用,工作;conj. 是,做,要; 
   286  pain                   12        4   n. 痛苦,疼痛,辛苦;v. 使...痛苦,痛苦,疼; 
   287  tell                   12        4   v. 告诉,说,断定;          
   288  hold                   12        4   n. 把握,把持力,柄;v. 保存,握住,拿～; 
   289  soon                   12        4   ad. 很快,立刻,马上;        
   290  baseball               12        4   n. 棒球;               
   291  stay                   12        4   n. 停留,停止,依靠;v. 停留,留宿,制止; 
   292  showed                 12        4                        
   293  shack                  12        4   n. 棚屋, 简陋的小屋         
   294  shoulder               12        4   n. 肩,衣肩,肩角;v. 肩负,负担,担任; 
   295  arm                    12        4   n. 手臂,袖子,海湾;v. 武装,装备; 
   296  moon                   12        4   n. 月亮,月球,月光;v. 闲渡,闲荡,闲渡时光; 
   297  luck                   12        4   n. 运气,幸运;            
   298  strain                 12        4   n. 紧张,拉紧,血统;v. 劳累,拉紧,过份使用; 
   299  sky                    12        4   n. 天空,天色;            
   300  brought                12        4   v. 带来,使得;vbl. 带来,使得; 
   301  dream                  12        4   n. 梦;v. 做梦;          
   302  tiller                 12        4   n. 耕种者,分蘖            
   303  road                   12        4   n. 道路,公路,方法;         
   304  same                   11        4   a. 相同的,同样的;          
   305  blood                  11        4   n. 血,血统;             
   306  land                   11        4   n. 陆地,国土,土地;v. 登陆,登岸,卸货; 
   307  thing                  11        4   n. 事物,东西,情况;         
   308  last                   11        4   a. 最后的,末尾的,最近的;v. 持续,支持,维持;ad. 最后,后 
   309  hours                  11        4                        
   310  circling               11        4                        
   311  point                  11        4   n. 点,要点,尖端;v. 指出,指,描准; 
   312  home                   11        4   n. 家,避难所,故乡;a. 家庭的,国内的,有效的;ad. 在家,深 
   313  although               11        4   conj. 虽然,即使;         
   314  may                    11        4                        
   315  face                   11        4   n. 脸,面容;v. 面对,朝,承认;  
   316  look                   11        4   n. 一看,神色,样子;v. 看,看,注视; 
   317  wonder                 11        4   n. 奇迹,惊奇,惊谔;v. 惊奇,想知道,怀疑; 
   318  moving                 11        4   vbl. 移动;             
   319  told                   11        4   v. 告诉,说,断定;vbl. 告诉,说; 
   320  such                   11        4   a. 如此的,这样的;          
   321  gaff                   11        4   n. 鱼叉,斜桁,鸡脚上的铁爪;v. 用鱼叉捉,用鱼钩拖上来; 
   322  alone                  11        4   a. 孤独的,单独的,独自的;ad. 独自地; 
   323  fresh                  11        4   a. 新鲜的,新奇的,生的;ad. 最新地,刚刚; 
   324  feeling                11        4   n. 感觉,情绪,同情;a. 有同情心的,有感觉的,仁慈的;vbl.  
   325  us                     11        4                        
   326  cold                   11        4   n. 感冒,寒冷;a. 寒冷的,冷淡的,冷静的; 
   327  salt                   10        3   n. 盐,刺激;a. 含盐的,辛辣的;v. 加盐于,用盐腌; 
   328  times                  10        3   n. 次数                
   329  jump                   10        3   n. 跳跃,跳动,上涨;v. 跳越,跃过,突升; 
   330  club                   10        3   n. 俱乐部,木棍,球棒;        
   331  killed                 10        3                        
   332  hope                   10        3   n. 希望,信心,期待;v. 希望,期望,信赖; 
   333  reached                10        3                        
   334  knows                  10        3                        
   335  heard                  10        3   v. 听到,听说;vbl. 听到,听说; 
   336  negro                  10        3                        
   337  except                 10        3   v. 除,除外,反对;prep. 除了...之外,若不是,除非; 
   338  inside                 10        3   n. 内部,内脏,内幕;a. 内部的,秘密的,户内的;prep. 在. 
   339  fingers                10        3                        
   340  sorry                  10        3   a. 难过的,悲哀的,遗憾的;      
   341  terrace                10        3   n. 梯形地之一层,房屋之平顶,坛;a. 成平顶的,成梯形的;v. 使 
   342  badly                  10        3   ad. 严重地,恶劣地,极度地;     
   343  today                  10        3   n. 今天,当今;ad. 今天,当今;  
   344  eye                    10        3   n. 眼睛;               
   345  calm                   10        3   n. 平稳,风平浪静;a. 平静的,冷静的;v. 平静下来,镇静; 
   346  swung                  10        3   swing 的过去式(分词)       
   347  huge                   10        3   a. 极大的,巨大的,无限的;      
   348  boats                  10        3                        
   349  bone                   10        3   n. 骨头;               
   350  truly                  10        3   ad. 真实地,不假;          
   351  rested                 10        3                        
   352  sure                   10        3   a. 确信,必然的,必定的;ad. 当然,确实地,无疑地; 
   353  oar                    10        3   n. 桨,桨手,小艇;v. 划桨;    
   354  asleep                 10        3   a. 睡熟了的,麻木的;ad. 熟睡地; 
   355  between                10        3   prep. 在...之间;        
   356  help                   10        3   n. 帮忙,帮助者,补救办法;v. 帮助,帮忙,接济;n.[计算机]  
   357  eating                  9        3   n. 吃,食物;a. 侵蚀的,腐蚀性的;vbl. 吃; 
   358  others                  9        3                        
   359  coffee                  9        3   n. 咖啡,咖啡色;           
   360  loved                   9        3                        
   361  hemingway               9        3                        
   362  worked                  9        3                        
   363  smell                   9        3   n. 味道,气味,嗅;v. 闻,探出,发臭; 
   364  early                   9        3   a. 早的,早;ad. 很早,初;    
   365  yes                     9        3   ad. 是的;              
   366  stars                   9        3                        
   367  carefully               9        3   ad. 小心地,谨慎地;         
   368  dropped                 9        3                        
   369  forward                 9        3   a. 向前的,早的,迅速的;v. 转寄,促进,运送;ad. 向前地; 
   370  blade                   9        3   n. 刀锋,刀口;            
   371  baits                   9        3                        
   372  drove                   9        3   v. 驾驶;               
   373  lions                   9        3                        
   374  pulling                 9        3                        
   375  trousers                9        3   n.(pl.)裤子            
   376  people                  9        3   n. 人,人们,民族;          
   377  jumped                  9        3                        
   378  fisherman               9        3   n. 渔夫,钓鱼者,渔船;        
   379  tight                   9        3   a. 紧的,吝啬的,严厉的;ad. 紧紧地; 
   380  called                  9        3                        
   381  body                    9        3   n. 身体,人;             
   382  gently                  9        3   ad. 轻轻地,逐渐地;         
   383  taken                   9        3   vbl. 拿,取;            
   384  next                    9        3   n. 下一个;a. 下一个的,其次的,最近的;ad. 然后,下次,最近 
   385  give                    9        3   n. 给予,弹性,适应性;v. 给,产生,发表; 
   386  used                    9        3   a. 使用过的,二手的,习惯的;v. 用,以前曾经;vbl. 用,习惯 
   387  why                     9        3   int. 为什么;            
   388  spread                  9        3   n. 传布,伸展;a. 扩延的;v. 传布,推广,伸出; 
   389  looking                 9        3                        
   390  dead                    9        3   a. 死的,不活泼的,麻木的;      
   391  foot                    9        3   n. 脚,步调,尺;           
   392  she                     9        3   int. 她;              
   393  sailed                  9        3                        
   394  behind                  9        3   ad. 在后地;prep. 在...之后; 
